Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,663.000000,664.000000,650.390015,661.500000,658.259399,3211126
2016-12-07,668.000000,683.000000,664.500000,672.500000,669.205505,4957963
2016-12-08,672.000000,677.127014,656.500000,658.500000,655.274109,8229636
2016-12-09,659.000000,673.000000,656.000000,668.000000,664.727600,3469128
2016-12-12,668.500000,674.000000,646.000000,651.000000,647.810852,4284997
2016-12-13,651.500000,681.111023,646.000000,678.000000,674.678589,12399476
2016-12-14,678.500000,690.500000,670.000000,670.000000,666.717773,6506649
2016-12-15,672.000000,677.000000,659.000000,671.500000,668.210449,4162312
2016-12-16,674.500000,684.000000,670.500000,675.000000,671.693298,4887105
2016-12-19,676.000000,677.000000,667.500000,673.000000,669.703064,2766845
2016-12-20,674.000000,677.500000,667.000000,676.000000,672.688354,4119706
2016-12-21,675.000000,691.000000,673.000000,685.000000,681.644287,6651712
2016-12-22,682.500000,684.000000,676.500000,682.500000,679.156555,2428783
2016-12-23,684.500000,686.500000,680.500000,680.500000,677.166321,600744
2016-12-28,680.500000,687.500000,664.500000,686.500000,683.136963,3377241
2016-12-29,682.000000,684.500000,671.890015,678.000000,674.678589,1585970
2016-12-30,676.000000,678.500000,668.000000,668.000000,664.727600,3357703
2017-01-03,668.000000,683.000000,667.000000,670.000000,666.717773,3761729
2017-01-04,673.500000,674.500000,658.500000,667.500000,664.230042,3633908
2017-01-05,662.000000,663.500000,635.000000,639.500000,636.367188,11396939
2017-01-06,644.000000,651.000000,635.500000,650.500000,647.313293,6834704
2017-01-09,653.000000,661.559998,644.000000,661.000000,657.761841,5198886
2017-01-10,660.000000,670.500000,657.479980,667.500000,664.230042,5522799
2017-01-11,667.000000,671.500000,661.000000,670.000000,666.717773,4344351
2017-01-12,669.000000,677.135010,664.862976,677.000000,673.683472,5779259
2017-01-13,679.000000,680.000000,657.500000,661.500000,658.259399,5204813
2017-01-16,657.500000,666.210022,653.500000,665.000000,661.742249,3247687
2017-01-17,690.000000,719.250000,688.500000,694.500000,691.097778,14840940
2017-01-18,696.500000,701.000000,691.500000,693.500000,690.102661,6152858
2017-01-19,693.500000,707.000000,691.500000,702.500000,699.058533,5118431
2017-01-20,703.000000,705.000000,686.000000,688.500000,685.127136,5131616
2017-01-23,685.500000,692.609985,678.500000,691.500000,688.112427,4025211
2017-01-24,686.500000,690.000000,668.000000,680.500000,677.166321,8551767
2017-01-25,685.000000,693.000000,678.500000,686.000000,682.639404,3832181
2017-01-26,689.000000,692.500000,677.000000,692.000000,688.609985,4918244
2017-01-27,693.500000,695.000000,679.000000,686.000000,682.639404,5590509
2017-01-30,684.000000,686.099976,658.500000,660.000000,656.766785,5435871
2017-01-31,662.000000,675.000000,660.000000,667.500000,664.230042,7561030
2017-02-01,682.000000,689.000000,667.500000,668.000000,664.727600,5880547
2017-02-02,666.500000,680.500000,665.500000,674.000000,670.698181,4845631
2017-02-03,677.500000,677.500000,665.500000,671.000000,667.712891,3512210
2017-02-06,671.500000,681.500000,664.317993,680.500000,677.166321,6370744
2017-02-07,680.000000,705.500000,676.500000,700.500000,697.068359,7261470
2017-02-08,700.000000,730.000000,700.000000,720.000000,716.472839,9155420
2017-02-09,720.000000,723.000000,708.500000,718.000000,714.482605,4616226
2017-02-10,717.000000,739.500000,713.000000,732.500000,728.911621,7755909
2017-02-13,730.500000,744.362000,726.000000,740.000000,736.374878,11469121
2017-02-14,746.500000,749.500000,693.500000,710.500000,707.019348,26798941
2017-02-15,712.500000,722.559021,701.000000,704.500000,701.048767,11696764
2017-02-16,704.000000,704.000000,688.890015,693.500000,690.102661,7831537
2017-02-17,694.500000,695.500000,664.000000,666.000000,662.737366,18408027
2017-02-20,683.500000,710.500000,673.369995,708.000000,704.531616,8845499
2017-02-21,710.000000,735.000000,707.500000,732.500000,728.911621,10157875
2017-02-22,738.000000,753.179993,735.000000,751.500000,747.818542,11088523
2017-02-23,749.500000,764.000000,740.000000,764.000000,760.257263,11819660
2017-02-24,759.500000,769.000000,758.000000,763.500000,759.759705,8570103
2017-02-27,765.500000,771.000000,761.000000,768.000000,764.237671,4488482
2017-02-28,767.000000,788.500000,761.000000,787.000000,783.144592,9368086
2017-03-01,788.500000,792.500000,778.500000,782.500000,778.666626,9080648
2017-03-02,780.000000,781.500000,771.500000,776.500000,772.696045,6836001
2017-03-03,775.500000,775.500000,765.000000,770.500000,766.725464,5642747
2017-03-06,770.500000,773.169983,759.500000,760.000000,756.276855,3863646
2017-03-07,762.000000,763.500000,755.000000,757.000000,753.291565,13883666
2017-03-08,756.000000,758.000000,749.000000,749.000000,745.330750,5321817
2017-03-09,750.000000,753.500000,740.164978,747.500000,743.838135,8140793
2017-03-10,749.000000,758.500000,742.883972,754.500000,750.803833,9279988
2017-03-13,754.000000,767.000000,753.335022,762.000000,758.267090,6552898
2017-03-14,764.500000,772.500000,763.000000,767.000000,763.242615,5304688
2017-03-15,771.000000,774.000000,765.500000,773.000000,769.213196,6559499
2017-03-16,778.000000,783.164978,770.500000,774.500000,770.705872,4941509
2017-03-17,771.500000,778.000000,766.500000,772.500000,768.715637,7657159
2017-03-20,771.000000,777.239990,765.000000,775.000000,771.203369,3883330
2017-03-21,779.500000,783.500000,764.500000,778.000000,774.188721,5659220
2017-03-22,779.000000,779.500000,757.335022,758.000000,754.286682,5266125
2017-03-23,756.500000,762.239990,741.500000,754.000000,750.306274,8227504
2017-03-24,755.000000,765.500000,751.921997,756.500000,752.794006,7430741
2017-03-27,755.000000,755.000000,733.500000,743.000000,739.360168,4133668
2017-03-28,744.000000,753.500000,740.500000,753.500000,749.808716,3911056
2017-03-29,753.500000,763.000000,746.000000,759.000000,755.281799,5566497
2017-03-30,758.500000,766.000000,752.000000,766.000000,762.247498,3695576
2017-03-31,767.500000,769.000000,754.000000,754.000000,750.306274,5425181
2017-04-03,760.000000,760.000000,749.335022,750.500000,746.823425,4041236
2017-04-04,752.000000,770.500000,751.000000,766.500000,762.745056,5513716
2017-04-05,768.500000,780.164978,766.330017,778.500000,774.686218,7296903
2017-04-06,774.000000,789.664978,770.000000,784.000000,780.159302,7970490
2017-04-07,785.000000,798.500000,781.500000,797.000000,793.095642,4427332
2017-04-10,800.000000,801.500000,794.500000,797.000000,793.095642,4514343
2017-04-11,794.000000,816.000000,793.000000,810.500000,806.529480,6935836
2017-04-12,814.000000,845.000000,811.000000,830.500000,826.431519,12251268
2017-04-13,829.500000,836.752991,821.000000,828.500000,824.441284,8633431
2017-04-18,828.500000,837.000000,811.000000,815.500000,811.505005,7367753
2017-04-19,815.000000,819.000000,795.500000,801.000000,797.076050,7598377
2017-04-20,802.500000,808.500000,797.219971,805.000000,801.056458,17937407
2017-04-21,803.000000,811.000000,799.500000,806.500000,802.549072,6535967
2017-04-24,822.500000,823.000000,802.500000,810.000000,806.031921,4048777
2017-04-25,813.000000,814.000000,809.000000,812.500000,808.519714,3660552
2017-04-26,810.000000,829.500000,807.000000,826.000000,821.953552,3832458
2017-04-27,812.500000,813.000000,804.500000,809.000000,805.036804,5090485
2017-04-28,811.000000,817.500000,806.500000,812.000000,808.022156,4566052
2017-05-02,812.000000,825.164978,807.500000,823.500000,819.465820,3858162
2017-05-03,822.000000,825.000000,811.000000,824.500000,820.460876,6386294
2017-05-04,824.000000,825.000000,807.500000,812.500000,808.519714,14584250
2017-05-05,814.000000,854.000000,806.809998,853.500000,849.318848,10144510
2017-05-08,849.500000,851.500000,832.500000,850.500000,846.333557,6175907
2017-05-09,850.000000,890.500000,850.000000,890.000000,885.640015,9982007
2017-05-10,891.000000,895.000000,871.000000,874.500000,870.215942,13145051
2017-05-11,871.500000,878.500000,867.000000,871.500000,867.230652,5687243
2017-05-12,870.000000,872.000000,858.500000,863.500000,859.269836,6400737
2017-05-15,867.500000,867.500000,838.500000,854.000000,849.816406,7938556
2017-05-16,854.000000,865.500000,848.000000,865.000000,860.762512,8255879
2017-05-17,859.500000,862.500000,841.000000,842.500000,838.372742,7036049
2017-05-18,833.000000,862.000000,826.000000,850.500000,846.333557,8940215
2017-05-19,852.500000,869.500000,838.000000,851.000000,846.831055,8210999
2017-05-22,852.500000,862.500000,846.000000,853.500000,849.318848,3601142
2017-05-23,855.500000,869.000000,855.500000,862.000000,857.777222,5517697
2017-05-24,862.000000,863.500000,849.000000,854.500000,850.313965,4970051
2017-05-25,856.000000,861.500000,843.000000,851.500000,847.328613,4701514
2017-05-26,853.500000,873.500000,852.219971,873.000000,868.723328,6378498
2017-05-30,873.000000,875.900024,863.000000,868.500000,864.245361,5611407
2017-05-31,872.500000,876.710022,862.500000,867.500000,863.250244,18858521
2017-06-01,871.500000,889.500000,870.000000,885.500000,881.162048,8842849
2017-06-02,890.000000,895.500000,880.500000,891.500000,887.132690,4524860
2017-06-05,891.000000,898.000000,881.989990,894.500000,890.117981,4010278
2017-06-06,890.000000,894.500000,880.500000,894.000000,889.620422,5664211
2017-06-07,897.000000,904.000000,882.000000,888.000000,883.649841,6650742
2017-06-08,891.500000,892.585999,877.000000,888.000000,883.649841,4970620
2017-06-09,895.000000,917.000000,892.500000,908.500000,904.049377,9155269
2017-06-12,904.500000,907.000000,884.500000,892.000000,887.630249,4717863
2017-06-13,896.000000,898.000000,880.000000,891.500000,887.132690,4081534
2017-06-14,893.500000,899.650024,891.500000,896.000000,891.610657,7611180
2017-06-15,896.500000,898.500000,887.000000,895.000000,890.615540,5293097
2017-06-16,900.500000,916.500000,894.500000,907.500000,903.054321,10470434
2017-06-19,915.000000,927.000000,913.000000,924.500000,919.971008,3888625
2017-06-20,925.000000,930.335022,923.049988,925.500000,920.966125,1328174
2017-06-21,924.500000,933.669983,923.000000,932.500000,927.931824,647413
2017-06-22,932.000000,934.500000,926.000000,930.500000,925.941650,1854182
2017-06-23,929.500000,942.190002,925.500000,942.000000,937.385315,1442180
2017-06-26,942.000000,943.900024,927.500000,930.419983,925.862000,3444115
2017-06-27,926.000000,933.000000,918.000000,928.221008,923.673767,520200
2017-06-28,918.000000,921.000000,904.500000,910.000000,905.542053,589690
2017-06-29,911.500000,913.500000,891.500000,896.500000,892.108154,1191484
2017-06-30,893.500000,904.500000,883.830017,891.000000,886.635132,1345705
2017-07-03,891.000000,897.500000,886.000000,896.500000,892.108154,2813309
2017-07-04,891.500000,899.500000,887.500000,897.000000,892.605713,2880705
2017-07-05,901.000000,917.164978,896.500000,908.500000,904.049377,3811210
2017-07-06,909.000000,916.000000,904.000000,915.500000,911.015137,6880274
2017-07-07,915.000000,936.560974,915.000000,936.500000,931.912231,5255864
2017-07-10,937.500000,940.164978,926.752014,932.000000,927.434265,3638788
2017-07-11,931.500000,934.500000,915.000000,922.500000,917.980835,3030280
2017-07-12,926.500000,934.520996,921.500000,929.500000,924.946533,4333757
2017-07-13,931.000000,931.000000,918.500000,926.000000,921.463684,4084971
2017-07-14,929.000000,929.000000,910.000000,914.500000,910.020020,9637927
2017-07-17,914.000000,917.500000,900.330017,916.000000,911.512634,4562867
2017-07-18,915.500000,917.000000,907.000000,916.000000,911.512634,3484228
2017-07-19,919.500000,926.000000,911.500000,924.000000,919.473450,3303003
2017-07-20,923.500000,932.500000,915.000000,916.500000,912.010193,3093980
2017-07-21,914.000000,929.000000,912.500000,922.000000,917.483276,4443621
2017-07-24,919.500000,927.000000,914.773987,925.000000,920.468567,5230621
2017-07-25,926.500000,928.500000,923.500000,925.000000,920.468567,3309918
2017-07-26,927.000000,929.000000,918.500000,921.000000,916.488159,4375440
2017-07-27,921.000000,932.500000,919.000000,931.500000,926.936707,6395211
2017-07-28,922.000000,933.000000,920.500000,929.000000,924.448975,5019403
2017-07-31,904.000000,909.000000,885.000000,888.000000,883.649841,13064352
2017-08-01,919.500000,994.500000,916.500000,979.000000,974.204041,17179043
2017-08-02,974.000000,978.000000,938.500000,943.000000,938.380371,11445323
2017-08-03,942.500000,961.140991,941.000000,955.000000,950.321594,5786310
2017-08-04,957.000000,965.549988,942.000000,962.000000,957.287292,4820442
2017-08-07,962.000000,969.000000,954.500000,957.000000,952.311829,3840458
2017-08-08,957.000000,959.000000,947.000000,950.000000,945.346069,3113254
2017-08-09,946.000000,946.000000,932.500000,940.500000,935.892639,3877363
2017-08-10,935.000000,940.500000,917.000000,919.000000,914.497986,6459525
2017-08-11,912.000000,917.500000,903.500000,910.000000,905.542053,3948814
2017-08-14,911.000000,915.091980,903.500000,903.500000,899.073914,2563537
2017-08-15,911.000000,923.000000,909.940979,910.000000,905.542053,3570958
2017-08-16,915.000000,921.000000,907.500000,913.000000,908.527344,3596152
2017-08-17,912.000000,920.664978,907.500000,911.500000,907.034729,2058997
2017-08-18,907.500000,907.500000,896.000000,901.000000,896.586121,3283432
2017-08-21,896.000000,905.835022,896.000000,902.000000,897.581238,1828643
2017-08-22,908.500000,919.000000,905.500000,917.000000,912.507751,4245832
2017-08-23,919.000000,920.000000,910.500000,917.000000,912.507751,1982858
2017-08-24,919.000000,920.500000,910.000000,910.000000,905.542053,2244383
2017-08-25,913.500000,914.000000,904.000000,906.500000,902.059204,2580040
2017-08-29,906.500000,906.500000,889.500000,897.000000,892.605713,2690263
2017-08-30,905.000000,914.000000,900.500000,909.500000,905.044495,2074763
2017-08-31,915.500000,918.335022,910.500000,914.000000,909.522461,2915578
2017-09-01,919.000000,925.000000,914.000000,920.000000,915.493042,3103160
2017-09-04,915.000000,917.500000,906.000000,911.500000,907.034729,1511451
2017-09-05,910.500000,913.500000,899.000000,900.500000,896.088562,2855299
2017-09-06,898.500000,898.500000,886.000000,892.000000,887.630249,3372046
2017-09-07,891.000000,895.000000,881.500000,884.000000,879.669434,3348983
2017-09-08,883.000000,895.000000,879.377014,892.000000,887.630249,2938801
2017-09-11,891.000000,905.500000,881.500000,902.000000,897.581238,2568806
2017-09-12,904.000000,905.500000,897.000000,900.000000,895.591064,3701482
2017-09-13,894.500000,908.500000,889.494995,903.000000,898.576355,3546523
2017-09-14,903.500000,910.000000,892.500000,902.500000,898.078796,5839351
2017-09-15,899.500000,899.500000,879.500000,885.500000,881.162048,7888444
2017-09-18,889.500000,899.000000,888.000000,889.500000,885.142456,2577508
2017-09-19,887.500000,897.500000,887.500000,896.500000,892.108154,5200505
2017-09-20,894.000000,907.000000,890.000000,900.500000,896.088562,2154987
2017-09-21,899.500000,902.000000,883.000000,886.000000,881.659607,4135055
2017-09-22,885.000000,894.500000,883.500000,892.000000,887.630249,2389775
2017-09-25,889.500000,889.500000,877.000000,883.500000,879.171875,2806820
2017-09-26,881.000000,882.500000,869.000000,873.500000,869.220886,2900681
2017-09-27,874.000000,876.250000,860.500000,861.500000,857.279663,4474641
2017-09-28,863.500000,884.500000,861.500000,884.000000,879.669434,4180549
2017-09-29,886.500000,895.000000,879.500000,887.000000,882.654724,4236839
2017-10-02,890.000000,903.026978,886.500000,903.000000,898.576355,5488620
