Date,Open,High,Low,Close,Adj Close,Volume
2016-12-06,65.599998,66.180000,64.900002,66.099998,64.758125,1086521
2016-12-07,66.599998,66.949997,65.900002,66.580002,65.228386,991317
2016-12-08,66.769997,67.120003,65.809998,66.470001,65.120621,1412016
2016-12-09,66.449997,66.559998,65.949997,66.540001,65.189201,751165
2016-12-12,66.559998,67.440002,66.550003,67.089996,65.728027,1009983
2016-12-13,67.050003,67.800003,66.970001,67.510002,66.139503,918224
2016-12-14,67.449997,67.599998,66.830002,67.389999,66.021935,776403
2016-12-15,67.550003,69.040001,67.510002,68.849998,67.452301,1468133
2016-12-16,68.800003,69.889999,68.400002,68.610001,67.217171,2251516
2016-12-19,68.110001,68.680000,67.419998,67.809998,67.108307,964171
2016-12-20,67.949997,68.190002,67.580002,68.010002,67.306244,737667
2016-12-21,67.720001,68.489998,67.669998,68.059998,67.355721,503548
2016-12-22,68.000000,68.430000,67.800003,68.070000,67.365623,507935
2016-12-23,68.050003,68.330002,67.760002,67.980003,67.276558,357338
2016-12-27,67.980003,68.269997,67.900002,68.000000,67.296349,332254
2016-12-28,67.900002,68.419998,67.900002,68.279999,67.573448,500902
2016-12-29,67.980003,68.230003,67.889999,68.150002,67.444794,474215
2016-12-30,68.139999,68.430000,67.430000,68.419998,67.711998,703309
2017-01-02,68.349998,69.080002,68.320000,68.529999,67.820862,385610
2017-01-03,68.739998,68.970001,68.120003,68.699997,67.989098,738562
2017-01-04,68.820000,68.839996,68.040001,68.510002,67.801071,730113
2017-01-05,67.839996,68.320000,66.980003,67.760002,67.058830,1074963
2017-01-06,67.699997,67.820000,66.989998,67.699997,66.999451,965853
2017-01-09,67.800003,67.800003,67.019997,67.610001,66.910385,595635
2017-01-10,67.599998,67.800003,67.180000,67.330002,66.633278,687405
2017-01-11,67.339996,67.989998,67.059998,67.629997,66.930176,459317
2017-01-12,67.599998,67.839996,67.139999,67.209999,66.514519,641895
2017-01-13,67.349998,67.660004,67.190002,67.650002,66.949966,865429
2017-01-16,67.150002,67.599998,67.150002,67.199997,66.504623,461082
2017-01-17,67.169998,67.440002,66.820000,67.120003,66.425453,715459
2017-01-18,67.190002,67.410004,66.750000,67.269997,66.573898,794315
2017-01-19,67.750000,69.870003,63.439999,63.619999,62.961670,7026452
2017-01-20,64.449997,64.800003,63.369999,64.449997,63.783077,3801326
2017-01-23,64.459999,65.580002,63.880001,65.529999,64.851906,1744086
2017-01-24,65.800003,65.809998,64.699997,64.900002,64.228424,1169888
2017-01-25,65.139999,65.620003,64.870003,64.919998,64.248215,1414145
2017-01-26,64.900002,64.900002,64.029999,64.480003,63.812775,1212088
2017-01-27,63.830002,64.150002,63.070000,63.630001,62.971569,1217523
2017-01-30,63.490002,63.750000,62.709999,62.810001,62.160053,1117251
2017-01-31,62.900002,63.360001,62.700001,62.700001,62.051189,1407253
2017-02-01,61.770000,62.849998,61.509998,62.730000,62.080879,1266666
2017-02-02,62.509998,63.419998,62.220001,63.139999,62.486637,1004994
2017-02-03,63.200001,63.950001,62.970001,63.509998,62.852806,872648
2017-02-06,63.450001,63.740002,62.980000,63.049999,62.397568,915590
2017-02-07,63.000000,63.459999,62.980000,63.340000,62.684566,1333971
2017-02-08,63.349998,63.570000,63.150002,63.470001,62.813225,1319058
2017-02-09,63.549999,63.880001,63.450001,63.680000,63.021049,1015022
2017-02-10,64.000000,64.099998,63.560001,63.880001,63.218983,758567
2017-02-13,63.930000,64.529999,63.869999,64.320000,63.654427,1060673
2017-02-14,64.300003,64.629997,63.980000,64.199997,63.535664,783007
2017-02-15,64.849998,66.180000,64.849998,66.050003,65.366531,1594969
2017-02-16,65.459999,65.459999,64.540001,64.900002,64.228424,1619262
2017-02-17,64.699997,64.949997,64.040001,64.379997,63.713802,1122735
2017-02-20,64.510002,65.320000,64.510002,65.239998,64.564903,521454
2017-02-21,65.199997,65.489998,65.010002,65.169998,64.495628,734309
2017-02-22,65.099998,65.309998,64.599998,64.730003,64.060188,853940
2017-02-23,64.779999,67.550003,64.779999,65.989998,65.307144,1253238
2017-02-24,66.010002,66.349998,65.110001,65.500000,64.822220,1312936
2017-02-27,65.980003,66.000000,65.500000,65.769997,65.089417,889164
2017-02-28,65.949997,67.160004,65.900002,67.160004,66.465042,1492544
2017-03-01,67.500000,68.250000,67.190002,67.930000,67.227074,1246162
2017-03-02,68.199997,68.800003,68.059998,68.769997,68.058372,1073370
2017-03-03,68.730003,68.889999,68.169998,68.599998,67.890137,1020084
2017-03-06,68.669998,69.120003,68.400002,69.000000,68.285995,696917
2017-03-07,69.050003,69.050003,68.680000,68.800003,68.088074,732438
2017-03-08,68.279999,69.400002,68.279999,69.300003,68.582901,674414
2017-03-09,69.250000,69.370003,68.820000,69.139999,68.424553,774983
2017-03-10,69.239998,69.430000,68.959999,69.050003,68.335487,751317
2017-03-13,69.099998,69.199997,68.570000,68.720001,68.008896,534131
2017-03-14,68.779999,68.830002,68.099998,68.400002,67.692207,807821
2017-03-15,68.000000,68.410004,67.220001,67.839996,67.138000,1746131
2017-03-16,68.360001,68.410004,67.300003,67.800003,67.098419,1239032
2017-03-17,67.760002,68.110001,67.169998,68.110001,67.405212,1436345
2017-03-20,68.220001,68.290001,67.889999,68.199997,67.494270,511652
2017-03-21,68.339996,68.660004,67.790001,68.150002,67.444794,892615
2017-03-22,68.099998,69.190002,67.540001,69.190002,68.474037,1238675
2017-03-23,68.970001,70.099998,68.680000,69.860001,69.137100,1045844
2017-03-24,69.849998,69.959999,69.430000,69.599998,68.879791,775787
2017-03-27,69.599998,69.709999,68.529999,69.650002,68.929276,693408
2017-03-28,69.790001,69.889999,69.129997,69.760002,69.038139,757684
2017-03-29,69.940002,70.169998,69.660004,69.860001,69.137100,576982
2017-03-30,69.839996,70.300003,69.750000,70.040001,69.315239,798092
2017-03-31,69.440002,70.139999,69.230003,70.029999,69.305336,1461662
2017-04-03,69.949997,71.459999,69.809998,70.690002,69.958511,1217023
2017-04-04,70.669998,71.180000,70.059998,70.559998,69.829857,716160
2017-04-05,70.580002,71.059998,70.500000,70.820000,70.087166,833234
2017-04-06,70.599998,72.000000,70.480003,71.930000,71.185677,1199934
2017-04-07,71.750000,72.830002,71.269997,72.830002,72.076370,1201384
2017-04-10,72.800003,73.309998,72.470001,72.849998,72.096161,1050741
2017-04-11,72.500000,73.129997,72.029999,73.070000,72.313881,860349
2017-04-12,73.230003,73.739998,72.919998,73.070000,72.313881,702779
2017-04-13,73.099998,73.309998,72.669998,72.800003,72.046677,817667
2017-04-18,72.800003,73.750000,72.440002,72.730003,71.977402,1158698
2017-04-19,72.720001,72.930000,72.570000,72.650002,71.898232,859463
2017-04-20,72.620003,73.930000,72.570000,73.660004,72.897781,1011488
2017-04-21,73.599998,74.160004,72.949997,73.730003,72.967056,1351792
2017-04-24,75.529999,77.120003,75.320000,75.839996,75.055214,2190150
2017-04-25,75.949997,75.949997,75.110001,75.769997,74.985939,1029410
2017-04-26,75.989998,76.489998,75.529999,76.000000,75.213562,1411114
2017-04-27,76.010002,76.910004,75.779999,76.750000,75.955803,987587
2017-04-28,76.709999,76.720001,75.529999,76.019997,75.233353,1277081
2017-05-02,76.019997,77.449997,75.639999,77.339996,76.539696,1070959
2017-05-03,77.309998,77.550003,76.550003,76.959999,76.163628,868267
2017-05-04,77.000000,77.959999,76.949997,77.830002,77.024628,961051
2017-05-05,77.970001,78.349998,76.980003,78.129997,77.321518,1141273
2017-05-08,78.150002,78.150002,77.489998,77.900002,77.093903,813732
2017-05-09,78.269997,78.410004,77.690002,77.709999,76.905869,831133
2017-05-10,77.650002,78.230003,77.410004,77.489998,76.688141,1112554
2017-05-11,77.099998,77.160004,75.650002,75.820000,75.035423,1545112
2017-05-12,75.800003,77.150002,75.779999,77.029999,76.232903,895721
2017-05-15,77.000000,77.220001,76.570000,77.000000,76.203217,681127
2017-05-16,77.220001,77.220001,76.550003,76.910004,76.114151,682162
2017-05-17,76.900002,76.959999,74.970001,75.370003,74.590088,1056139
2017-05-18,75.860001,76.750000,75.000000,76.349998,75.559944,1333329
2017-05-19,76.489998,77.120003,75.860001,76.360001,75.569839,1089774
2017-05-22,76.330002,76.430000,75.809998,75.949997,75.164078,753432
2017-05-23,75.910004,76.440002,75.720001,76.169998,75.381805,596444
2017-05-24,76.150002,76.339996,75.970001,76.110001,75.322426,38260
2017-05-25,76.800003,78.470001,75.930000,78.470001,77.658005,2141234
2017-05-26,78.750000,79.720001,78.199997,79.570000,78.746620,1765122
2017-05-29,79.959999,80.089996,79.330002,79.589996,78.766411,593076
2017-05-30,79.550003,79.680000,78.980003,79.150002,78.330971,760778
2017-05-31,79.290001,80.000000,78.800003,78.800003,77.984596,1244751
2017-06-01,79.209999,80.489998,79.029999,79.910004,79.083107,1150069
2017-06-02,80.040001,80.360001,79.639999,79.779999,78.954445,863569
2017-06-05,80.080002,80.330002,79.889999,80.070000,79.241447,571203
2017-06-06,79.699997,80.180000,79.550003,79.660004,78.835693,977134
2017-06-07,79.500000,80.029999,79.230003,79.230003,78.410141,792671
2017-06-08,79.209999,79.309998,78.419998,78.699997,77.885620,984583
2017-06-09,78.849998,79.610001,78.760002,79.199997,78.380447,1018179
2017-06-12,79.180000,79.260002,77.930000,78.059998,77.252243,779290
2017-06-13,78.019997,78.519997,77.800003,78.290001,77.479866,751583
2017-06-14,78.199997,79.199997,78.019997,78.019997,77.212662,691670
2017-06-15,78.029999,78.110001,76.959999,77.860001,77.054321,1415629
2017-06-16,77.860001,80.209999,77.750000,80.209999,79.379997,1722176
2017-06-19,79.870003,81.050003,79.720001,80.830002,80.830002,1087036
2017-06-20,81.000000,81.680000,80.809998,81.139999,81.139999,1070762
2017-06-21,80.730003,81.529999,80.050003,81.480003,81.480003,1085848
2017-06-22,81.519997,81.949997,81.389999,81.919998,81.919998,1092120
2017-06-23,81.849998,82.150002,81.480003,81.820000,81.820000,783165
2017-06-26,81.900002,82.790001,81.900002,82.010002,82.010002,805519
2017-06-27,81.620003,81.730003,80.820000,81.370003,81.370003,934621
2017-06-28,81.139999,81.410004,80.120003,80.910004,80.910004,835578
2017-06-29,81.080002,81.169998,79.300003,79.839996,79.839996,1166805
2017-06-30,79.800003,81.300003,79.800003,80.239998,80.239998,1418876
2017-07-03,80.669998,81.279999,80.529999,80.989998,80.989998,806801
2017-07-04,80.919998,81.150002,80.480003,80.889999,80.889999,460350
2017-07-05,82.500000,82.620003,81.629997,81.889999,81.889999,835567
2017-07-06,81.959999,82.430000,80.830002,81.050003,81.050003,872808
2017-07-07,81.050003,81.970001,81.050003,81.970001,81.970001,634930
2017-07-10,82.260002,82.400002,81.830002,82.000000,82.000000,747506
2017-07-11,82.070000,82.169998,81.510002,81.510002,81.510002,1161319
2017-07-12,81.699997,83.430000,81.699997,83.190002,83.190002,1252002
2017-07-13,83.250000,83.470001,82.879997,83.099998,83.099998,672326
2017-07-14,83.250000,83.879997,82.940002,83.430000,83.430000,501951
2017-07-17,83.410004,83.720001,82.599998,83.050003,83.050003,915506
2017-07-18,83.000000,83.190002,81.650002,81.650002,81.650002,982079
2017-07-19,82.000000,83.070000,81.720001,82.760002,82.760002,927163
